Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
backend,backend.domain,goal_status,,0,0,0,0,3,3,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\domain\goal_status.py
backend,backend.domain,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\domain\__init__.py
backend,backend.exceptions,llm_exceptions,,17,2,0,0,1,1,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\exceptions\llm_exceptions.py
backend,backend.exceptions,llm_exceptions,LLMClientError,17,2,2,1,4,4,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\exceptions\llm_exceptions.py
backend,backend.goals,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\__init__.py
backend,backend.goals.ai,llm_service,,114,16,8,5,5,5,0,2,0,0,C:\Users\Adity\Downloads\group02\backend\goals\ai\llm_service.py
backend,backend.goals.ai,llm_service,TaskGenerationContext,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\ai\llm_service.py
backend,backend.goals.ai,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\ai\__init__.py
backend,backend.goals.category,prompt_builder,,6,1,1,1,1,1,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\category\prompt_builder.py
backend,backend.goals.category,router,,43,3,1,1,2,2,0,0,2,0,C:\Users\Adity\Downloads\group02\backend\goals\category\router.py
backend,backend.goals.category,schemas,,6,2,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\category\schemas.py
backend,backend.goals.category,schemas,GoalCategoryDetectRequest,5,2,1,1,0,0,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\category\schemas.py
backend,backend.goals.category,schemas,GoalCategoryDetectResponse,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\category\schemas.py
backend,backend.goals.category,service,,41,8,0,0,1,1,-1,1,0,0,C:\Users\Adity\Downloads\group02\backend\goals\category\service.py
backend,backend.goals.category,service,GoalCategoryService,41,8,3,1,1,1,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\category\service.py
backend,backend.goals.category,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\category\__init__.py
backend,backend.goals.goal,router,,16,6,6,5,1,1,0.17,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\router.py
backend,backend.goals.goal,schemas,,18,5,0,0,0,0,-1,2,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\schemas.py
backend,backend.goals.goal,schemas,GoalCreate,1,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\schemas.py
backend,backend.goals.goal,schemas,TaskResponse,2,0,0,0,1,1,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\schemas.py
backend,backend.goals.goal,schemas,GoalResumeRequest,11,5,1,1,0,0,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\schemas.py
backend,backend.goals.goal,schemas,GoalResponse,2,0,0,0,1,1,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\schemas.py
backend,backend.goals.goal,schemas,GoalWithTasksResponse,2,0,0,0,1,1,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\schemas.py
backend,backend.goals.goal,service,,265,25,12,5,2,2,0.17,0,3,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\service.py
backend,backend.goals.goal,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\__init__.py
backend,backend.goals.goal.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\__init__.py
backend,backend.goals.goal.tests.integration,test_integration_goal_list_tasks,,76,10,8,5,3,3,0,0,3,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_list_tasks.py
backend,backend.goals.goal.tests.integration,test_integration_goal_pause_resume,,159,16,14,11,1,1,0,0,3,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_goal_pause_resume.py
backend,backend.goals.goal.tests.integration,test_integration_task_endpoints,,97,12,10,7,1,1,0,0,3,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\test_integration_task_endpoints.py
backend,backend.goals.goal.tests.integration,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\integration\__init__.py
backend,backend.goals.goal.tests.pause_resume,pause_resume_goal_test_utils,,34,8,4,4,13,13,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\pause_resume_goal_test_utils.py
backend,backend.goals.goal.tests.pause_resume,test_goal_pause,,48,8,8,8,0,0,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\test_goal_pause.py
backend,backend.goals.goal.tests.pause_resume,test_goal_pause_resume_replan,,27,4,4,4,0,0,1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\test_goal_pause_resume_replan.py
backend,backend.goals.goal.tests.pause_resume,test_goal_resume,,137,15,15,15,0,0,1,0,1,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\test_goal_resume.py
backend,backend.goals.goal.tests.pause_resume,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\pause_resume\__init__.py
backend,backend.goals.goal.tests.task,test_task_notes_batch,,106,8,8,8,5,5,0.12,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_notes_batch.py
backend,backend.goals.goal.tests.task,test_task_status_update,,93,10,10,10,9,9,0.4,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\test_task_status_update.py
backend,backend.goals.goal.tests.task,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\goal\tests\task\__init__.py
backend,backend.goals.integrations,web_search_service,,72,12,3,3,4,4,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\integrations\web_search_service.py
backend,backend.goals.integrations,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\integrations\__init__.py
backend,backend.goals.models,goal_adjustment_models,,35,2,0,0,0,0,-1,1,0,0,C:\Users\Adity\Downloads\group02\backend\goals\models\goal_adjustment_models.py
backend,backend.goals.models,goal_adjustment_models,GoalAdjustment,35,2,2,1,13,12,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\models\goal_adjustment_models.py
backend,backend.goals.models,goal_models,,26,2,0,0,0,0,-1,5,0,0,C:\Users\Adity\Downloads\group02\backend\goals\models\goal_models.py
backend,backend.goals.models,goal_models,Goal,26,2,2,1,11,10,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\models\goal_models.py
backend,backend.goals.models,task_models,,22,2,0,0,0,0,-1,4,0,0,C:\Users\Adity\Downloads\group02\backend\goals\models\task_models.py
backend,backend.goals.models,task_models,Task,22,2,2,1,9,8,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\models\task_models.py
backend,backend.goals.models,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\models\__init__.py
backend,backend.goals.progress,summarizer,,95,22,8,2,2,2,0.12,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\progress\summarizer.py
backend,backend.goals.progress,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\progress\__init__.py
backend,backend.goals.progress.tests,test_progress_summarizer,,233,14,13,13,21,21,0.31,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\progress\tests\test_progress_summarizer.py
backend,backend.goals.progress.tests,__init__,,0,0,0,0,0,0,-1,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\progress\tests\__init__.py
backend,backend.goals.roadmap,router,,16,2,1,1,1,1,0,0,0,0,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\router.py
backend,backend.goals.roadmap,service,,64,8,0,0,3,3,-1,2,0,0,C:\Users\Adity\Downloads\group02\backend\goals\roadmap\service.py
